Rk,Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Shai Gilgeous-Alexander,26,PG,64,34.3,.525,.371,.576,.900,0.9,4.2,5.1,6.2,1.8,1.0,2.6,2.3,32.8,gilgesh01
2,Giannis Antetokounmpo,30,PF,53,33.8,.603,.182,.607,.594,2.3,9.8,12.1,5.9,0.8,1.2,3.3,2.4,30.5,antetgi01
3,Nikola Jokić,29,C,60,36.4,.577,.428,.627,.808,2.9,10.0,12.9,10.4,1.8,0.7,3.3,2.3,29.0,jokicni01
4,Luka Dončić,25,PG,35,35.1,.445,.350,.527,.763,0.8,7.6,8.4,7.7,1.9,0.4,3.7,2.6,27.4,doncilu01
5,Anthony Edwards,23,SG,64,36.4,.442,.406,.542,.835,0.8,5.2,6.0,4.6,1.1,0.6,3.3,1.8,27.2,edwaran01
6,Jayson Tatum,26,PF,61,36.6,.456,.354,.545,.807,0.7,8.1,8.8,5.9,1.1,0.5,2.9,2.2,27.2,tatumja01
7,Kevin Durant,36,PF,53,37.1,.529,.413,.597,.830,0.4,5.8,6.2,4.3,0.8,1.3,3.1,1.7,26.8,duranke01
8,Jalen Brunson,28,PG,61,35.4,.490,.384,.552,.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3,brunsja01
9,Tyrese Maxey,24,PG,52,37.7,.437,.337,.511,.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,maxeyty01
10,Devin Booker,28,SG,60,37.5,.457,.346,.528,.889,1.0,3.1,4.1,6.8,1.0,0.2,2.8,2.7,25.9,bookede01
11,Cade Cunningham,23,PG,62,35.3,.462,.352,.514,.862,0.8,5.3,6.0,9.3,1.0,0.8,4.5,2.8,25.9,cunnica01
12,Anthony Davis,31,PF,43,34.2,.528,.313,.548,.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,davisan02
13,LaMelo Ball,23,PG,42,32.2,.400,.330,.487,.836,1.0,4.2,5.2,7.1,1.2,0.3,3.5,3.4,25.5,ballla01
14,Damian Lillard,34,PG,55,36.2,.451,.375,.549,.922,0.5,4.2,4.7,7.2,1.2,0.2,2.9,1.7,25.2,lillada01
15,LeBron James,40,SF,58,34.9,.517,.384,.579,.770,1.0,7.2,8.2,8.5,0.9,0.6,3.9,1.5,25.0,jamesle01
16,Kyrie Irving,32,SG,50,36.1,.473,.401,.549,.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,irvinky01
17,Paolo Banchero,22,PF,33,33.9,.447,.325,.497,.705,1.1,6.0,7.0,4.7,0.8,0.7,2.9,2.2,24.6,banchpa01
