year,round,#,from,description,team
2025,1,-,via SAC,Protected 1-12,ATL
2025,1,-,via LAL,No protections,ATL
2025,2,-,via MIN,No protections,ATL
2026,1,-,Own,SAS has the right to swap its 2026 1st round pick for ATL's 2026 1st round pick,ATL
2026,2,-,via MEM,Protected 31-42,ATL
2027,1,-,NOP or MIL swap rights,"NOP will receive the more favorable of its 2027 1st round pick and MIL's 2027 1st round pick and ATL will receive the less favorable of the two protected for selections 1-4; if this pick falls within its protected range and is therefore not conveyable, then NOP' commitment to ATL will be lifted and NOP will instead receive both picks (via NOP)",ATL
2027,2,-,via LAC,No protections,ATL
2028,1,-,Own,,ATL
2028,2,-,via HOU,No protections,ATL
2029,1,-,Own,,ATL
2030,1,-,Own,,ATL
2030,2,-,Own,,ATL
2031,1,-,Own,,ATL
2031,2,-,Own,,ATL
2025,1,-,Own,,BOS
2025,2,-,"GSW, WAS, DET or DAL swap rights","BOS will receive the most / more favorable of GSW's 2025 2nd round pick, WAS's 2025 2nd round pick, DET's 2025 2nd round pick protected for selections 56-59, and DAL' 2025 2nd round pick; UTA will receive the less favorable of (1) the DAL pick and (2) the most / more favorable of the DET pick if conveyable, the GSW pick or the WAS pick; WAS will receive the less favorable of its pick and the GSW pick, and the less favorable of (1) the more favorable of the two and (2) the DET pick if conveyable or WAS will receive neither (1) nor (2) if the DET pick is not conveyable (via DET to LAC to POR to DET; via DET's right to swap GSW for WAS (via BKN); via BOS's right to swap DET, GSW or WAS for DAL; via DAL to UTA; via DET to WAS)",BOS
2026,1,-,Own,,BOS
2026,2,-,"via MIN, NYK, NOP or POR",No protections,BOS
2026,2,-,Own,MEM will receive the more favorable of (1) BOS's 2026 2nd round pick and (2) the more favorable of IND's 2026 2nd round pick and MIA's 2026 2nd round pick and BOS will receive the less favorable of (1) and (2); SAS will receive the more favorable of (1) its 2026 2nd round pick and (2) the less favorable of the IND pick and the MIA pick and MIN will receive the less favorable of (1) and (2); MEM may convey the pick it receives to HOU and instead receive LAC if more favorable (see MEM incoming) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via SAS's right to swap for IND or MIA; via IND to MIN),BOS
2027,1,-,Own,,BOS
2027,2,-,POR or NOP swap rights,"BOS will receive the less favorable of POR's 2027 2nd round pick and NOP' 2027 2nd round pick if this pick falls outside its protected range of 31-55 (if this pick falls within its protected range and is therefore not conveyed, then POR's commitment to BOS will be lifted) (via POR)",BOS
2028,1,-,Own,"SAS has the right to swap its 2028 1st round pick for BOS's 2028 1st round pick protected for selection 1; if this pick falls on its protected selection and is therefore not conveyable, then BOS will instead convey its 2028 2nd round pick to SAS protected for selections 46-60 (if this pick falls within its protected range and is therefore not conveyed, then BOS's commitment to SAS will be lifted)",BOS
2030,1,-,Own,,BOS
2031,1,-,Own,,BOS
2031,2,-,Own,,BOS
2025,1,-,via NYK,No protections,BKN
2025,1,-,via MIL,Protected 1-4,BKN
2025,1,-,"OKC, HOU or PHX swap rights","OKC has the right to swap its 2025 1st round pick for HOU's 2025 1st round pick protected for selections 1-10 or the LAC' 2025 1st round pick; HOU then has the right to swap its pick or the OKC pick to BKN for PHX's 2025 1st round pick; if the HOU pick falls within its protected range, then HOU's commitment to OKC will be lifted and HOU will instead have the right to swap its pick to BKN for the PHX pick",BKN
2025,2,-,Own,,BKN
2026,1,-,Own,,BKN
2026,2,-,Own,,BKN
2026,2,-,via ATL,No protections,BKN
2027,1,-,via NYK,No protections,BKN
2027,1,-,Own,HOU has the right to swap its 2027 1st round pick for BKN's 2027 1st round pick,BKN
2027,1,-,via PHI,Protected 1-8,BKN
2027,2,-,via LAL,No protections,BKN
2028,1,-,Own,,BKN
2028,2,-,via ATL,No protections,BKN
2028,2,-,via MEM,No protections,BKN
2028,2,-,Own,,BKN
2029,1,-,via NYK,No protections,BKN
2029,1,-,"HOU, DAL or PHX swap rights","HOU will receive the two most favorable of its 2029 1st round pick, DAL' 2029 1st round pick and PHX's 2029 1st round pick and BKN will receive the least favorable of the three (via DAL and PHX to BKN; via DAL or PHX to HOU; via HOU's right to swap for DAL or PHX)",BKN
2029,2,-,via GSW,No protections,BKN
2029,2,-,via MEM,No protections,BKN
2029,2,-,Own,,BKN
2029,2,-,via DAL,No protections,BKN
2030,1,-,Own,,BKN
2030,2,-,Own,,BKN
2030,2,-,via DAL,No protections,BKN
2030,2,-,via LAL,No protections,BKN
2031,1,-,via NYK,No protections,BKN
2031,1,-,Own,,BKN
2031,2,-,Own,,BKN
2031,2,-,via LAL,No protections,BKN
2025,2,-,via NOP,No protections,CHO
2026,1,-,Own,,CHO
2026,2,-,via DEN,No protections,CHO
2026,2,-,via GSW,No protections,CHO
2026,2,-,Own,,CHA
2027,1,-,via DAL,Protected 1-2,CHO
2027,1,-,Own,,CHO
2027,1,-,via MIA,Protected 1-14,CHO
2027,2,-,Own,,CHO
2027,2,-,via POR or NOP,No protections,CHO
2028,1,-,Own,,CHO
2028,2,-,LAC swap rights,No protections,CHO
2029,1,-,Own,,CHO
2029,2,-,Own,,CHO
2029,2,-,via PHX,No protections,CHO
2029,2,-,via DEN,No protections,CHO
2030,1,-,LAL swap rights,CHA has the right to swap its 2030 1st round pick for LAL' 2030 1st round pick,CHA
2030,2,-,Own,,CHO
2031,1,-,via LAL,No protections,CHO
2031,1,-,Own,,CHO
2031,2,-,via NYK,No protections,CHO
2031,2,-,via DEN,No protections,CHO
2031,2,-,Own,,CHO
2031,2,-,via PHX,No protections,CHO
2025,1,-,via POR,Protected 1-14,CHI
2025,1,-,Own,,CHI
2025,2,-,via SAC,No protections,CHI
2026,1,-,Own,,CHI
2027,1,-,Own,,CHI
2028,1,-,Own,,CHI
2028,2,-,Own,,CHI
2029,1,-,Own,,CHI
2029,2,-,Own,,CHI
2030,1,-,Own,,CHI
2030,2,-,Own,,CHI
2031,1,-,Own,,CHI
2031,2,-,Own,,CHI
2025,2,-,Own,,CLE
2025,2,-,via MIL,No protections,CLE
2026,1,-,Own,"UTA will receive the most favorable of its 2026 1st round pick, protected for selections 9-30 if UTA does not convey a 1st round pick to OKC in 2025, MIN's 2026 1st round pick and CLE's 2026 1st round pick; MIN will receive the less favorable of its pick and the UTA pick if conveyable; CLE will receive the less favorable of (1) its pick and (2) the more favorable of the MIN pick and the UTA pick if conveyable (if the UTA pick falls within its protected range and is therefore not conveyable, then MIN's and CLE's commitments to UTA will be lifted) (via UTA's right to swap for MIN; via UTA's right to swap UTA or MIN for CLE)",CLE
2026,2,-,Own,,CLE
2027,2,-,Own,,CLE
2027,2,-,via DEN,No protections,CLE
2028,1,-,Own,UTA has the right to swap its 2028 1st round pick for CLE's 2028 1st round pick,CLE
2028,2,-,Own,,CLE
2029,2,-,Own,,CLE
2030,1,-,Own,,CLE
2031,1,-,Own,,CLE
2031,2,-,Own,,CLE
2025,1,-,Own,,DAL
2025,2,-,Own,"BOS will receive the most / more favorable of GSW's 2025 2nd round pick, WAS's 2025 2nd round pick, DET's 2025 2nd round pick protected for selections 56-59, and DAL' 2025 2nd round pick; UTA will receive the less favorable of (1) the DAL pick and (2) the most / more favorable of the DET pick if conveyable, the GSW pick or the WAS pick; WAS will receive the less favorable of its pick and the GSW pick, and the less favorable of (1) the more favorable of the two and (2) the DET pick if conveyable or WAS will receive neither (1) nor (2) if the DET pick is not conveyable (via DET to LAC to POR to DET; via DET's right to swap GSW for WAS (via BKN); via BOS's right to swap DET, GSW or WAS for DAL; via DAL to UTA; via DET to WAS)",DAL
2026,1,-,Own,,DAL
2028,1,-,Own,OKC has the right to swap its 2028 1st round pick for DAL' 2028 1st round pick,DAL
2029,1,-,via LAL,No protections,DAL
2029,1,-,Own,"HOU will receive the two most favorable of its 2029 1st round pick, DAL' 2029 1st round pick and PHX's 2029 1st round pick and BKN will receive the least favorable of the three (via DAL and PHX to BKN; via DAL or PHX to HOU; via HOU's right to swap for DAL or PHX)",DAL
