Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Stephen Curry,36.0,PG,57.0,32.2,0.448,0.398,0.573,0.936,0.6,3.8,4.4,6.1,1.1,0.4,2.9,1.4,24.3,GSW,55761216,59606817,62587158,0,0,0,177955191,3
Joel Embiid,30.0,C,19.0,30.2,0.444,0.299,0.481,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,PHI,51415938,55224526,57985752,62624612,67263472,0,227250828,5
Nikola Jokić,29.0,C,60.0,36.4,0.577,0.428,0.627,0.808,2.9,10.0,12.9,10.4,1.8,0.7,3.3,2.3,29.0,DEN,51415938,55224526,59033114,62841702,0,0,165673578,4
Kevin Durant,36.0,PF,53.0,37.1,0.529,0.413,0.597,0.83,0.4,5.8,6.2,4.3,0.8,1.3,3.1,1.7,26.8,PHO,51179021,54708609,0,0,0,0,105887630,2
Bradley Beal,31.0,SG,46.0,32.7,0.506,0.393,0.577,0.824,0.7,2.7,3.5,3.7,1.0,0.5,2.0,2.6,17.7,PHO,50203930,53666270,57128610,0,0,0,103870200,3
Jaylen Brown,28.0,SF,55.0,35.4,0.46,0.316,0.509,0.759,1.5,4.6,6.1,4.7,1.3,0.3,2.7,2.6,23.0,BOS,49205800,53142264,57078728,61015192,64951656,0,285393640,5
Devin Booker,28.0,SG,60.0,37.5,0.457,0.346,0.528,0.889,1.0,3.1,4.1,6.8,1.0,0.2,2.8,2.7,25.9,PHO,49205800,53142264,57078728,61015192,0,0,220441984,4
Karl-Anthony Towns,29.0,C,58.0,35.1,0.524,0.422,0.586,0.833,3.0,10.1,13.2,3.1,1.0,0.7,2.6,3.5,24.2,NYK,49205800,53142264,57078728,61015192,0,0,159426792,4
Paul George,34.0,PF,41.0,32.5,0.43,0.358,0.514,0.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,PHI,49205800,51666090,54126380,56586670,0,0,154998270,4
Kawhi Leonard,33.0,SF,23.0,29.7,0.462,0.361,0.521,0.754,1.0,4.2,5.1,2.8,1.3,0.5,2.1,1.5,18.6,LAC,49205800,50000000,50300000,0,0,0,149505800,3
